ThreadCount,min,max,avg,last,cnt,tps,bytes,bps,err,sum
50,278,459,359,406,7,14,3689,7750,0,0
50,270,796,472,658,17,25,8959,13213,0,0
50,254,1128,665,1018,34,31,17918,16514,0,0
50,254,1580,740,1237,40,32,21080,16877,0,0
50,243,1683,793,1042,47,31,24769,16861,0,0
50,243,2104,871,1592,54,33,28458,17708,0,0
50,243,2258,988,1200,74,35,38998,18821,0,0
50,240,2258,1008,1160,82,36,43214,19214,0,0
50,235,2258,1025,1112,93,37,49011,19778,0,0
50,235,2258,1030,1041,101,38,53227,20138,0,0
50,230,2258,1032,996,121,39,63767,20743,0,0
50,230,2258,1033,1052,130,39,68510,20836,0,0
50,230,2258,1033,1041,140,40,73780,21311,0,0
50,230,2258,1034,1032,150,40,79050,21440,0,0
50,230,2258,1038,1061,165,40,86955,21491,0,0
50,230,2258,1042,1132,174,40,91698,21399,0,0
50,230,2258,1046,1110,184,41,96968,21610,0,0
50,230,2258,1050,1088,193,41,101711,21793,0,0
50,230,2258,1056,1041,212,41,111724,21954,0,0
50,230,2258,1057,1060,220,41,115940,22029,0,0
50,230,2258,1058,1094,228,41,120156,21966,0,0
50,230,2258,1059,1079,236,41,124372,22110,0,0
50,230,2270,1063,1163,253,41,133331,21897,0,0
50,230,2270,1065,1130,263,41,138601,22101,0,0
50,230,2270,1068,1162,273,42,143871,22140,0,0
50,230,2270,1069,1088,283,42,149141,22336,0,0
50,230,2270,1072,1117,299,42,157573,22265,0,0
50,230,2270,1073,1139,308,42,162316,22336,0,0
50,230,2270,1075,1145,316,42,166532,22281,0,0
50,230,2270,1077,1168,325,42,171275,22269,0,0
50,230,2270,1080,1130,342,42,180234,22367,0,0
50,230,2270,1081,1166,350,42,184450,22252,0,0
50,230,2270,1084,1244,357,42,188139,22154,0,0
50,230,2270,1089,1229,372,42,196044,22146,0,0
50,230,2270,1093,1279,380,41,200260,22081,0,0
50,230,2270,1097,1332,388,41,204476,21989,0,0
50,230,2270,1101,1335,395,41,208165,21898,0,0
50,230,2270,1108,1126,416,42,219232,22187,0,0
50,176,2270,273,325,425,24,4743,12959,0,0
50,176,2270,351,515,432,29,8432,15790,0,0
50,176,2270,455,723,440,31,12648,16425,0,0
50,176,2270,646,1129,456,33,21080,17595,0,0
50,176,2270,753,1143,465,35,25823,18524,0,0
50,176,2270,828,1247,473,35,30039,18868,0,0
50,176,2270,886,1248,482,36,34782,19291,0,0
50,176,2270,943,1241,498,37,43214,19642,0,0
50,176,2270,969,1120,509,38,49011,20421,0,0
50,176,2270,981,1066,517,39,53227,20848,0,0
50,176,2270,991,1047,528,40,59024,21110,0,0
50,176,2270,1005,1080,545,40,67983,21218,0,0
50,176,2270,1011,1040,553,40,72199,21468,0,0
50,176,2270,1015,1107,563,41,77469,21609,0,0
50,176,2270,1019,1070,573,41,82739,21825,0,0
50,176,2270,1024,999,593,42,93279,22203,0,0
50,176,2270,1024,1043,602,42,98022,22217,0,0
50,176,2270,1025,1012,612,42,103292,22415,0,0
50,176,2270,1026,1050,631,42,113305,22602,0,0
50,176,2270,1027,1077,639,42,117521,22569,0,0
50,176,2270,1029,1053,648,42,122264,22620,0,0
50,176,2270,1032,1153,655,42,125953,22431,0,0
50,176,2270,1038,1085,675,43,136493,22699,0,0
50,176,2270,1041,1104,684,43,141236,22739,0,0
50,176,2270,1042,1078,693,43,145979,22827,0,0
50,176,2270,1044,1062,703,43,151249,22864,0,0
50,176,2270,1045,1076,721,43,160735,22916,0,0
50,176,2270,1045,1066,729,43,164951,22983,0,0
50,176,2270,1046,1114,738,43,169694,22879,0,0
50,176,2270,1048,1065,748,43,174964,23000,0,0
50,176,2270,1050,1124,761,43,181815,22878,0,0
50,176,2270,1053,1227,769,42,186031,22645,0,0
50,176,2270,1056,1276,773,42,188139,22504,0,0
50,176,2270,1062,1339,781,42,192355,22405,0,0
50,176,2280,1077,1366,798,42,201314,22390,0,0
50,176,2280,1085,1262,811,42,208165,22570,0,0
50,176,2280,1087,1162,819,42,212381,22605,0,0
50,176,2280,1087,1045,827,42,216597,22658,0,0
50,176,2280,1084,977,847,43,227137,22743,0,0
50,147,2280,234,283,854,23,3689,12215,0,0
50,147,2280,331,459,865,33,9486,17697,0,0
50,147,2280,496,880,880,34,17391,18422,0,0
50,147,2280,578,947,887,35,21080,18540,0,0
50,147,2280,650,1234,893,34,24242,18337,0,0
50,147,2280,748,1227,901,35,28458,18896,0,0
50,147,2280,872,1252,919,37,37944,19721,0,0
50,147,2280,903,1251,925,37,41106,19762,0,0
50,147,2280,949,1176,937,38,47430,20400,0,0
50,147,2280,969,1121,946,39,52173,20572,0,0
50,147,2280,995,1120,966,40,62713,21301,0,0
50,147,2280,999,1047,975,40,67456,21489,0,0
50,147,2280,1000,997,985,41,72726,21839,0,0
50,147,2280,1002,1042,993,41,76942,21704,0,0
50,147,2280,1009,1111,1010,41,85901,21730,0,0
50,147,2280,1013,1104,1018,41,90117,21936,0,0
50,147,2280,1019,1173,1025,41,93806,21689,0,0
50,147,2280,1028,1214,1033,40,98022,21557,0,0
50,147,2280,1047,1225,1049,41,106454,21659,0,0
50,147,2280,1055,1244,1057,41,110670,21627,0,0
50,147,2280,1065,1168,1069,41,116994,21859,0,0
50,147,2280,1068,1084,1077,41,121210,21942,0,0
50,147,2280,1068,1008,1097,42,131750,22225,0,0
50,147,2280,1067,1020,1107,42,137020,22290,0,0
50,147,2280,1065,992,1117,42,142290,22421,0,0
50,147,2280,1063,986,1125,42,146506,22504,0,0
50,147,2280,1060,1041,1143,42,155992,22584,0,0
50,147,2280,1060,1061,1151,42,160208,22554,0,0
50,147,2280,1061,1079,1163,42,166532,22645,0,0
50,147,2280,1062,1083,1171,43,170748,22699,0,0
50,146,2280,1063,1088,1187,43,179180,22784,0,0
50,146,2280,1065,1131,1195,42,183396,22582,0,0
50,146,2280,1068,1149,1204,42,188139,22528,0,0
50,146,2280,1069,1193,1213,42,192882,22554,0,0
50,146,2280,1074,1161,1232,43,202895,22692,0,0
50,146,2280,1075,1135,1240,42,207111,22647,0,0
50,146,2280,1076,1116,1248,42,211327,22616,0,0
50,146,2280,1078,1166,1256,42,215543,22581,0,0
